source,title,abstract,authors,published_date,categories,doi,url,paper_id,word_count,journal,pubmed_id,ai_generated
arxiv,Controllable Weather Synthesis and Removal with Video Diffusion Models,"Generating realistic and controllable weather effects in videos is valuable
for many applications. Physics-based weather simulation requires precise
reconstructions that are hard to scale to in-the-wild videos, while current
video editing often lacks realism and control. In this work, we introduce
WeatherWeaver, a video diffusion model that synthesizes diverse weather effects
-- including rain, snow, fog, and clouds -- directly into any input video
without the need for 3D modeling. Our model provides precise control over
weather effect intensity and supports blending various weather types, ensuring
both realism and adaptability. To overcome the scarcity of paired training
data, we propose a novel data strategy combining synthetic videos, generative
image editing, and auto-labeled real-world videos. Extensive evaluations show
that our method outperforms state-of-the-art methods in weather simulation and
removal, providing high-quality, physically plausible, and
scene-identity-preserving results over various real-world videos.",Chih-Hao Lin; Zian Wang; Ruofan Liang; Yuxuan Zhang; Sanja Fidler; Shenlong Wang; Zan Gojcic,01/05/2025,cs.GR; cs.CV,,http://arxiv.org/pdf/2505.00704v1,http://arxiv.org/abs/2505.00704v1,139,,,0
arxiv,T2I-R1: Reinforcing Image Generation with Collaborative Semantic-level and Token-level CoT,"Recent advancements in large language models have demonstrated how
chain-of-thought (CoT) and reinforcement learning (RL) can improve performance.
However, applying such reasoning strategies to the visual generation domain
remains largely unexplored. In this paper, we present T2I-R1, a novel
reasoning-enhanced text-to-image generation model, powered by RL with a
bi-level CoT reasoning process. Specifically, we identify two levels of CoT
that can be utilized to enhance different stages of generation: (1) the
semantic-level CoT for high-level planning of the prompt and (2) the
token-level CoT for low-level pixel processing during patch-by-patch
generation. To better coordinate these two levels of CoT, we introduce
BiCoT-GRPO with an ensemble of generation rewards, which seamlessly optimizes
both generation CoTs within the same training step. By applying our reasoning
strategies to the baseline model, Janus-Pro, we achieve superior performance
with 13% improvement on T2I-CompBench and 19% improvement on the WISE
benchmark, even surpassing the state-of-the-art model FLUX.1. Code is available
at: https://github.com/CaraJ7/T2I-R1",Dongzhi Jiang; Ziyu Guo; Renrui Zhang; Zhuofan Zong; Hao Li; Le Zhuo; Shilin Yan; Pheng-Ann Heng; Hongsheng Li,01/05/2025,cs.CV; cs.AI; cs.CL; cs.LG,,http://arxiv.org/pdf/2505.00703v1,http://arxiv.org/abs/2505.00703v1,156,,,0
arxiv,Polynomial and rational matrices with the invariant rational functions and the four sequences of minimal indices prescribed,"The complete eigenstructure, or structural data, of a rational matrix $R(s)$
is comprised by its invariant rational functions, both finite and at infinity,
which in turn determine its finite and infinite pole and zero structures,
respectively, and by the minimal indices of its left and right null spaces.
These quantities arise in many applications and have been thoroughly studied in
numerous references. However, other two fundamental subspaces of $R(s)$ in
contrast have received much less attention: the column and row spaces, which
also have their associated minimal indices. This work solves the problems of
finding necessary and sufficient conditions for the existence of rational
matrices in two scenarios: (a) when the invariant rational functions and the
minimal indices of the column and row spaces are prescribed, and (b) when the
complete eigenstructure together with the minimal indices of the column and row
spaces are prescribed. The particular, but extremely important, cases of these
problems for polynomial matrices are solved first and are the main tool for
solving the general problems. The results in this work complete and
non-trivially extend the necessary and sufficient conditions recently obtained
for the existence of polynomial and rational matrices when only the complete
eigenstructure is prescribed.",Itziar Baragaña; Froilán M. Dopico; Silvia Marcaida; Alicia Roca,01/05/2025,"math.SP; 15A18, 15A21, 15A29, 15A54, 93B10, 93B60",,http://arxiv.org/pdf/2505.00699v1,http://arxiv.org/abs/2505.00699v1,201,,,0
arxiv,Faster Quantum Algorithm for Multiple Observables Estimation in Fermionic Problems,"Achieving quantum advantage in efficiently estimating collective properties
of quantum many-body systems remains a fundamental goal in quantum computing.
While the quantum gradient estimation (QGE) algorithm has been shown to achieve
doubly quantum enhancement in the precision and the number of observables, it
remains unclear whether one benefits in practical applications. In this work,
we present a generalized framework of adaptive QGE algorithm, and further
propose two variants which enable us to estimate the collective properties of
fermionic systems using the smallest cost among existing quantum algorithms.
The first method utilizes the symmetry inherent in the target state, and the
second method enables estimation in a single-shot manner using the parallel
scheme. We show that our proposal offers a quadratic speedup compared with
prior QGE algorithms in the task of fermionic partial tomography for systems
with limited particle numbers. Furthermore, we provide the numerical
demonstration that, for a problem of estimating fermionic 2-RDMs, our proposals
improve the number of queries to the target state preparation oracle by a
factor of 100 for the nitrogenase FeMo cofactor and by a factor of 500 for
Fermi-Hubbard model of 100 sites.",Yuki Koizumi; Kaito Wada; Wataru Mizukami; Nobuyuki Yoshioka,01/05/2025,quant-ph,,http://arxiv.org/pdf/2505.00697v1,http://arxiv.org/abs/2505.00697v1,188,,,0
arxiv,On the Beilinson-Bloch conjecture over function fields,"Let k be a field and X a smooth projective variety over k. When k is a number
field, the Beilinson--Bloch conjecture relates the ranks of the Chow groups of
X to the order of vanishing of certain L-functions. We consider the same
conjecture when k is a global function field, and give a criterion for the
conjecture to hold for X, extending an earlier result of Jannsen. As an
application, we provide a new proof of a theorem of Geisser connecting the Tate
conjecture over finite fields and the Birch and Swinnerton-Dyer conjecture over
function fields. We then prove the Tate conjecture for a product of a smooth
projective curve with a power of a CM elliptic curve over any finitely
generated field, and thus deduce special cases of the Beilinson--Bloch
conjecture. In the process we obtain a conditional answer to a question of
Moonen on the Chow groups of powers of ordinary CM elliptic curves over
arbitrary fields.",Matt Broe,01/05/2025,math.NT; math.AG,,http://arxiv.org/pdf/2505.00696v1,http://arxiv.org/abs/2505.00696v1,160,,,0
arxiv,Robotic Visual Instruction,"Recently, natural language has been the primary medium for human-robot
interaction. However, its inherent lack of spatial precision for robotic
control introduces challenges such as ambiguity and verbosity. To address these
limitations, we introduce the Robotic Visual Instruction (RoVI), a novel
paradigm to guide robotic tasks through an object-centric, hand-drawn symbolic
representation. RoVI effectively encodes spatial-temporal information into
human-interpretable visual instructions through 2D sketches, utilizing arrows,
circles, colors, and numbers to direct 3D robotic manipulation. To enable
robots to understand RoVI better and generate precise actions based on RoVI, we
present Visual Instruction Embodied Workflow (VIEW), a pipeline formulated for
RoVI-conditioned policies. This approach leverages Vision-Language Models
(VLMs) to interpret RoVI inputs, decode spatial and temporal constraints from
2D pixel space via keypoint extraction, and then transform them into executable
3D action sequences. We additionally curate a specialized dataset of 15K
instances to fine-tune small VLMs for edge deployment, enabling them to
effectively learn RoVI capabilities. Our approach is rigorously validated
across 11 novel tasks in both real and simulated environments, demonstrating
significant generalization capability. Notably, VIEW achieves an 87.5% success
rate in real-world scenarios involving unseen tasks that feature multi-step
actions, with disturbances, and trajectory-following requirements. Code and
Datasets in this paper will be released soon.",Yanbang Li; Ziyang Gong; Haoyang Li; Haoyang Li; Xiaoqi Huang; Haolan Kang; Guangping Bai; Xianzheng Ma,01/05/2025,cs.RO; cs.AI; cs.CV,,http://arxiv.org/pdf/2505.00693v1,http://arxiv.org/abs/2505.00693v1,207,,,0
arxiv,Physical Limits and Optimal Synthesis of Beyond Diagonal Anomalous Scatterers,"Realizing metasurfaces for anomalous scattering is fundamental to designing
reflector arrays, reconfigurable intelligent surfaces, and metasurface
antennas. However, the basic cost of steering scattering into non-specular
directions is not fully understood. This paper derives tight physical bounds on
anomalous scattering using antenna array systems equipped with non-local
matching networks. The matching networks are explicitly synthesized based on
the solutions of the optimization problems that define these bounds.
Furthermore, we analyze fundamental limits for metasurface antennas implemented
with metallic and dielectric materials exhibiting minimal loss within a finite
design region. The results reveal a typical 6dB reduction in bistatic radar
cross section (RCS) in anomalous directions compared to the forward direction.
Numerical examples complement the theory and illustrate the inherent cost of
achieving anomalous scattering relative to forward or specular scattering for
canonical configurations.",Mats Gustafsson,01/05/2025,physics.optics; cs.SY; eess.SP; eess.SY; physics.class-ph,,http://arxiv.org/pdf/2505.00691v1,http://arxiv.org/abs/2505.00691v1,133,,,0
arxiv,Towards Autonomous Micromobility through Scalable Urban Simulation,"Micromobility, which utilizes lightweight mobile machines moving in urban
public spaces, such as delivery robots and mobility scooters, emerges as a
promising alternative to vehicular mobility. Current micromobility depends
mostly on human manual operation (in-person or remote control), which raises
safety and efficiency concerns when navigating busy urban environments full of
unpredictable obstacles and pedestrians. Assisting humans with AI agents in
maneuvering micromobility devices presents a viable solution for enhancing
safety and efficiency. In this work, we present a scalable urban simulation
solution to advance autonomous micromobility. First, we build URBAN-SIM - a
high-performance robot learning platform for large-scale training of embodied
agents in interactive urban scenes. URBAN-SIM contains three critical modules:
Hierarchical Urban Generation pipeline, Interactive Dynamics Generation
strategy, and Asynchronous Scene Sampling scheme, to improve the diversity,
realism, and efficiency of robot learning in simulation. Then, we propose
URBAN-BENCH - a suite of essential tasks and benchmarks to gauge various
capabilities of the AI agents in achieving autonomous micromobility.
URBAN-BENCH includes eight tasks based on three core skills of the agents:
Urban Locomotion, Urban Navigation, and Urban Traverse. We evaluate four robots
with heterogeneous embodiments, such as the wheeled and legged robots, across
these tasks. Experiments on diverse terrains and urban structures reveal each
robot's strengths and limitations.",Wayne Wu; Honglin He; Chaoyuan Zhang; Jack He; Seth Z. Zhao; Ran Gong; Quanyi Li; Bolei Zhou,01/05/2025,cs.CV; cs.AI; cs.RO,,http://arxiv.org/pdf/2505.00690v1,http://arxiv.org/abs/2505.00690v1,210,,,0
arxiv,Visual Test-time Scaling for GUI Agent Grounding,"We introduce RegionFocus, a visual test-time scaling approach for Vision
Language Model Agents. Understanding webpages is challenging due to the visual
complexity of GUI images and the large number of interface elements, making
accurate action selection difficult. Our approach dynamically zooms in on
relevant regions, reducing background clutter and improving grounding accuracy.
To support this process, we propose an image-as-map mechanism that visualizes
key landmarks at each step, providing a transparent action record and enables
the agent to effectively choose among action candidates. Even with a simple
region selection strategy, we observe significant performance gains of 28+\% on
Screenspot-pro and 24+\% on WebVoyager benchmarks on top of two
state-of-the-art open vision language model agents, UI-TARS and Qwen2.5-VL,
highlighting the effectiveness of visual test-time scaling in interactive
settings. We achieve a new state-of-the-art grounding performance of 61.6\% on
the ScreenSpot-Pro benchmark by applying RegionFocus to a Qwen2.5-VL-72B model.
Our code will be released publicly at https://github.com/tiangeluo/RegionFocus.",Tiange Luo; Lajanugen Logeswaran; Justin Johnson; Honglak Lee,01/05/2025,cs.CV; cs.AI; cs.LG,,http://arxiv.org/pdf/2505.00684v1,http://arxiv.org/abs/2505.00684v1,155,,,0
arxiv,Photonic Crystal Microring Resonators on a Hybrid Silicon Nitride-on-Lithium Niobate Platform,"Photonic-crystal resonators (PhCRs) have been widely used in nonlinear
integrated photonics for frequency engineering applications. A
microwave-assisted frequency converter based on PhCRs highlights its precise
control of frequency (enabled by creation of a pair of supermodes by a
corrugated PhCR) and bidirectional frequency conversion. In this paper, we
demonstrate a high-quality PhCR on a hybrid silicon nitride-on-lithium
niobate-on-insulator (SiN-on-LNOI) platform for the first time for
voltage-driven flexible frequency conversion using the electro-optic effect
(0.85 pm/V). The fabricated PhCR has a large supermode splitting bandwidth =
14.6 GHz and an intrinsic quality factor (Q) = 147,000. Using different
periodic corrugation amplitudes in the fabricated PhCRs enables the precise
control of mode splitting with a ratio of 93.5 MHz/nm between the mode
splitting bandwidth and the corrugation amplitude.",Zhongdi Peng; Rakesh Krishna; Xi Wu; Amir H. Hosseinnia; Tianren Fan; Ali Adibi,01/05/2025,physics.optics; physics.app-ph,,http://arxiv.org/pdf/2505.00678v1,http://arxiv.org/abs/2505.00678v1,126,,,0
